ID,NEIGHBOURHOOD_NAME,LOCATION_TYPE,SPECIES_BOTANICAL,SPECIES_COMMON,GENUS,SPECIES,CULTIVAR,DIAMETER_BREAST_HEIGHT,CONDITION_PERCENT,PLANTED_DATE,OWNER,Bears Edible Fruit,Type of Edible Fruit,COUNT,LATITUDE,LONGITUDE,LOCATION,Point Location
432916,DUGGAN,Buffer,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,10,65,2009-06-01,Parks,Yes,Schubert Chokecherry,1,53.47218283,-113.5159077,"(53.47218283158777, -113.51590766999044)",POINT (-113.51590766999044 53.47218283158777)
515871,CUMBERLAND,Park,Prunus maackii,"Cherry, Amur",Prunus,maackii,,6,65,2015-06-01,Parks,Yes,Amur Chokecherry,1,53.61087284,-113.5445062,"(53.610872840819624, -113.54450617472082)",POINT (-113.54450617472082 53.610872840819624)
172202,KILKENNY,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,13,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.6105917,-113.4507912,"(53.61059170167428, -113.4507911542385)",POINT (-113.4507911542385 53.61059170167428)
216888,WOODCROFT,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,19,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.56266298,-113.5655265,"(53.562662975501745, -113.56552649282587)",POINT (-113.56552649282587 53.562662975501745)
343954,ATHLONE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,21,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.59093012,-113.5559548,"(53.590930117867174, -113.55595478460393)",POINT (-113.55595478460393 53.590930117867174)
488442,SWEET GRASS,Buffer,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,8,65,2009-06-01,Parks,Yes,Schubert Chokecherry,1,53.46556261,-113.5169365,"(53.46556261263083, -113.51693652369934)",POINT (-113.51693652369934 53.46556261263083)
328317,ORMSBY PLACE,Boulevard,Prunus maackii,"Cherry, Amur",Prunus,maackii,,16,65,1990-01-01,Parks,Yes,Amur Chokecherry,1,53.49620478,-113.6515127,"(53.49620477617836, -113.65151266709638)",POINT (-113.65151266709638 53.49620477617836)
542419,MAGRATH HEIGHTS,Centre Median,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,12,65,2011-05-31,Parks,Yes,Schubert Chokecherry,1,53.44905372,-113.5523778,"(53.44905372149311, -113.55237779443095)",POINT (-113.55237779443095 53.44905372149311)
565143,EMPIRE PARK,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,7,65,2014-06-01,Parks,Yes,Schubert Chokecherry,1,53.4832243,-113.502658,"(53.483224299641144, -113.50265797888848)",POINT (-113.50265797888848 53.483224299641144)
461902,GRANVILLE,Centre Median,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,7,65,2010-06-01,Parks,Yes,Schubert Chokecherry,1,53.51005163,-113.6779805,"(53.51005163257973, -113.67798045260693)",POINT (-113.67798045260693 53.51005163257973)
350911,ELLERSLIE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,10,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.42948957,-113.4662772,"(53.42948957402654, -113.46627718667098)",POINT (-113.46627718667098 53.42948957402654)
197893,CLOVERDALE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,20,65,1989-12-31,Parks,Yes,Schubert Chokecherry,1,53.53816664,-113.4831409,"(53.53816664456221, -113.48314088735337)",POINT (-113.48314088735337 53.53816664456221)
431076,PRINCE RUPERT,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,12,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.56476073,-113.5234134,"(53.56476072597462, -113.52341335866855)",POINT (-113.52341335866855 53.56476072597462)
286422,RIVER VALLEY VICTORIA,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,34,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.53364219,-113.5102885,"(53.53364219228461, -113.51028850569075)",POINT (-113.51028850569075 53.53364219228461)
537855,GLASTONBURY,Centre Median,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,6,65,2016-06-01,Parks,Yes,Schubert Chokecherry,1,53.50759731,-113.6712781,"(53.50759730667149, -113.6712780973563)",POINT (-113.6712780973563 53.50759730667149)
225123,BELGRAVIA,Park,Malus,Apple,Malus,,,10,65,1990-01-01,Parks,Yes,Apple,1,53.51018393,-113.5296693,"(53.51018393248873, -113.52966926888304)",POINT (-113.52966926888304 53.51018393248873)
323024,SPRUCE AVENUE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,19,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.56989378,-113.4944023,"(53.569893777192455, -113.49440228778943)",POINT (-113.49440228778943 53.569893777192455)
192579,TWIN BROOKS,Park,Malus,Apple,Malus,,,23,65,1990-01-01,Parks,Yes,Apple,1,53.436806,-113.5382746,"(53.436805996728815, -113.53827458235861)",POINT (-113.53827458235861 53.436805996728815)
192691,TWIN BROOKS,Centre Median,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,14,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.44267379,-113.5334085,"(53.44267378585652, -113.53340851849522)",POINT (-113.53340851849522 53.44267378585652)
540655,AMBLESIDE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,10,65,2015-05-31,Parks,Yes,Schubert Chokecherry,1,53.43987895,-113.6043126,"(53.43987895078528, -113.60431262782157)",POINT (-113.60431262782157 53.43987895078528)
436282,GOODRIDGE CORNERS,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,80,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.64052908,-113.5569449,"(53.64052907999254, -113.55694493898275)",POINT (-113.55694493898275 53.64052907999254)
351544,THE HAMPTONS,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,10,65,2009-06-01,Parks,Yes,Schubert Chokecherry,1,53.48913106,-113.6774287,"(53.48913105604797, -113.67742867512703)",POINT (-113.67742867512703 53.48913105604797)
475637,KILKENNY,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,7,65,2012-06-01,Parks,Yes,Schubert Chokecherry,1,53.60773517,-113.4570663,"(53.60773517497501, -113.45706628075799)",POINT (-113.45706628075799 53.60773517497501)
