sourceid,dstid,hod,ride time
87,62,7,12.37766667
66,83,9,8.725333333
134,64,4,19.4095
98,141,21,26.88283333
9,130,11,26.03783333
104,33,7,44.72916667
68,63,9,20.1115
136,44,4,17.59516667
130,18,1,6.515833333
86,72,7,34.41433333
132,84,4,17.99766667
111,4,3,18.39133333
137,34,4,24.93616667
84,92,7,29.78883333
99,59,22,15.54883333
55,92,13,19.65666667
56,82,13,27.1285
95,99,22,25.7475
58,62,13,20.32266667
98,69,22,28.25483333
57,72,13,17.239
80,109,20,28.523
70,2,13,15.69733333
59,52,13,20.45216667
5,85,20,13.24083333
4,95,20,3.459666667
6,75,20,16.704
7,65,20,22.58166667
9,45,20,28.26533333
65,125,15,26.89183333
66,115,15,12.01416667
67,105,15,14.61
20,18,21,15.71166667
64,135,15,34.13616667
38,78,0,19.3565
39,68,0,14.94383333
36,98,0,21.3045
87,79,23,20.78533333
86,89,23,28.51116667
85,99,23,24.6285
88,69,23,19.01716667
42,123,18,8.510833333
41,133,18,25.4825
64,126,19,20.92566667
63,136,19,8.093166667
66,106,19,3.631166667
44,103,18,26.6385
19,13,0,7.896
18,23,0,14.64866667
43,113,18,18.622
9,113,0,13.54983333
13,73,0,3.4105
101,100,15,17.61216667
42,128,11,24.64966667
43,118,11,13.68516667
11,93,0,13.3355
41,138,11,55.17916667
44,108,11,17.07666667
12,83,0,18.59583333
17,33,0,18.43883333
100,110,15,53.048
16,43,0,23.89866667
15,53,0,18.838
99,97,10,21.94916667
110,30,15,32.03333333
111,20,15,32.11816667
57,136,2,16.1955
58,126,2,14.81333333
59,18,17,15.70316667
53,78,17,19.06016667
58,28,17,6.3725
57,38,17,20.599
56,48,17,33.88716667
55,58,17,21.035
119,83,12,20.59016667
4,94,23,15.6165
5,84,23,27.20983333
118,93,12,14.44933333
9,44,23,25.5785
8,54,23,21.55966667
93,126,5,19.92466667
92,136,5,21.9395
95,106,5,20.54883333
78,1,18,22.74383333
94,116,5,15.15366667
54,68,17,35.24383333
71,14,1,11.57066667
70,24,1,3.293166667
33,79,20,13.92016667
36,49,20,18.42583333
38,29,20,2.996833333
15,6,0,17.65916667
132,13,4,16.46366667
130,33,4,19.27383333
131,23,4,21.5715
32,89,20,23.383
39,19,20,33.13333333
78,80,7,19.41083333
77,90,7,11.73366667
35,59,20,24.07183333
119,93,21,18.15166667
82,119,3,7.721666667
83,109,3,20.1265
80,139,3,16.0695
81,129,3,18.03333333
34,69,20,26.48
21,4,1,17.97083333
49,24,19,4.435833333
45,64,19,10.92916667
48,34,19,27.14116667
48,139,17,6.164833333
49,129,17,29.79083333
47,44,19,17.69666667
42,94,19,5.834166667
113,127,23,21.79416667
115,107,23,7.628
44,74,19,12.921
46,54,19,26.00666667
93,115,13,32.23116667
94,105,13,10.03816667
92,125,13,12.7055
91,73,14,6.682666667
93,53,14,22.71466667
95,33,14,7.5925
97,13,14,31.6575
90,83,14,29.17116667
54,114,3,26.31416667
53,124,3,13.53
55,104,3,19.2265
96,23,14,24.76666667
74,124,16,3.201166667
75,117,17,28.705
76,107,17,40.4425
73,137,17,31.29166667
111,2,13,30.703
73,134,16,26.07116667
102,1,2,16.8745
